set_number,set_name,year_released,image_url,theme_name
8285,Tow Truck,2006,https://cdn.rebrickable.com/media/sets/8285-1.jpg,Technic
8286,3 In 1 Car / Amphipower,1996,https://cdn.rebrickable.com/media/sets/8286-1.jpg,Technic
8288,Crawler Crane,2006,https://cdn.rebrickable.com/media/sets/8288-1.jpg,Technic
8289,Fire Truck,2006,https://cdn.rebrickable.com/media/sets/8289-1.jpg,Technic
8290,Mini Forklift,2008,https://cdn.rebrickable.com/media/sets/8290-1.jpg,Technic
8291,Dirt Bike,2008,https://cdn.rebrickable.com/media/sets/8291-1.jpg,Technic
8292,Cherry Picker,2008,https://cdn.rebrickable.com/media/sets/8292-1.jpg,Technic
8294,Excavator,2008,https://cdn.rebrickable.com/media/sets/8294-1.jpg,Technic
8295,Telescopic Handler,2008,https://cdn.rebrickable.com/media/sets/8295-1.jpg,Technic
8296,Dune Buggy,2008,https://cdn.rebrickable.com/media/sets/8296-1.jpg,Technic
8297,Off-Roader,2008,https://cdn.rebrickable.com/media/sets/8297-1.jpg,Technic
8299,Search Sub [with CD],1997,https://cdn.rebrickable.com/media/sets/8299-1.jpg,Technic
8408,Desert Ranger,1996,https://cdn.rebrickable.com/media/sets/8408-1.jpg,Technic
8412,Nighthawk / Sky Wasp,1995,https://cdn.rebrickable.com/media/sets/8412-1.jpg,Technic
8414,Mountain Rambler,1997,https://cdn.rebrickable.com/media/sets/8414-1.jpg,Technic
8415,Dump Truck,2005,https://cdn.rebrickable.com/media/sets/8415-1.jpg,Technic
8416,Forklift,2005,https://cdn.rebrickable.com/media/sets/8416-1.jpg,Technic
8417,Mag Wheel Master,1998,https://cdn.rebrickable.com/media/sets/8417-1.jpg,Technic
8418,Mini Loader,2005,https://cdn.rebrickable.com/media/sets/8418-1.jpg,Technic
8419,Excavator,2005,https://cdn.rebrickable.com/media/sets/8419-1.jpg,Technic
8420,Street Bike,2005,https://cdn.rebrickable.com/media/sets/8420-1.jpg,Technic
8421,Mobile Crane,2005,https://cdn.rebrickable.com/media/sets/8421-1.jpg,Technic
